name_eng	name	numerator	denominator	clustering
turkaksagi_ii	Türkaksaðý II	5	8	2+1+2
turkdarbi	Türkdarbý	14	4	1+1+2+2+4+4
turkmen	Türkmen	18	8	
yuruksemai	Yürüksemâî	6	8	1+1+1+1+2
yuruksemai_6_4	Yürüksemâî (6/4)	6	4	2+2+2+2+4
yuruksemai_ii	Yürüksemâî II	6	8	1+2+1+2
yuruksemai_ii_6_4	Yürüksemâî II (6/4)	6	4	6+6
yuruksofyan	Yürüksofyan	2	4	2+1+1
zafer	Zafer	5	8	
zencir	Zencîr	4	4	
